Time,Bid,Ask,EUR,BTC,Trade
25 Dec 13 22:11,493.3,495.7,903.0005,1.105,0
25 Dec 13 22:17,493.3,495.7,903.0005,1.105,0
25 Dec 13 22:27,493.3,495.7,903.0005,1.105,0
25 Dec 13 22:37,495.3,497.1,903.0005,1.105,-0.037
25 Dec 13 22:47,495.3,495.3,921.4255,1.068,0
25 Dec 13 22:58,495.5,497.1,921.4255,1.068,0
25 Dec 13 23:06,495.5,497.8,921.4255,1.068,0
25 Dec 13 23:16,495.5,497.7,921.4255,1.068,0
25 Dec 13 23:26,495.4,497.8,921.4255,1.068,0
25 Dec 13 23:36,495.1,496.6,921.4255,1.068,0
25 Dec 13 23:46,496.6,499.0,921.4255,1.068,-0.027
25 Dec 13 23:56,495.4,497.8,934.839,1.041,0
26 Dec 13 00:06,497.4,499.0,934.839,1.041,-0.017
26 Dec 13 00:16,494.2,496.6,943.1965,1.024,0.02
26 Dec 13 00:26,497.3,499.0,933.2129,1.044,-0.018
26 Dec 13 00:36,497.3,499.0,942.3328,1.025,0
26 Dec 13 00:46,499.0,499.0,942.3328,1.025,-0.034
26 Dec 13 00:56,498.5,499.0,959.2037,0.992,0
26 Dec 13 01:06,499.0,499.0,959.2037,0.992,0
26 Dec 13 01:16,497.3,499.0,959.2037,0.992,0
26 Dec 13 01:26,497.3,499.0,959.2037,0.992,0
26 Dec 13 01:36,498.9,499.0,959.2037,0.992,0
26 Dec 13 01:47,498.9,499.0,959.2037,0.992,0
26 Dec 13 01:57,502.1,503.9,959.2037,0.992,-0.064
26 Dec 13 02:07,505.1,505.9,991.3437,0.927,-0.062
26 Dec 13 02:17,502.0,504.5,1022.8216,0.865,0.016
26 Dec 13 02:27,503.2,505.7,1014.9835,0.88,0
26 Dec 13 02:37,504.4,505.7,1014.9835,0.88,0
26 Dec 13 02:47,504.5,505.8,1014.9835,0.88,0
26 Dec 13 02:57,503.3,504.5,1014.9835,0.88,0
26 Dec 13 03:07,501.1,503.3,1014.9835,0.88,0.025
26 Dec 13 03:17,502.7,505.0,1002.3394,0.906,0
26 Dec 13 03:27,502.7,504.0,1002.3394,0.906,0
26 Dec 13 03:37,502.7,504.0,1002.3394,0.906,0
26 Dec 13 03:47,498.9,501.4,1002.3394,0.906,0.039
26 Dec 13 03:57,497.7,500.1,982.6844,0.945,0.026
26 Dec 13 04:07,500.1,501.4,975.1779,0.96,0
26 Dec 13 04:17,498.9,501.4,975.1779,0.96,0
26 Dec 13 04:28,501.5,503.9,975.1779,0.96,-0.021
26 Dec 13 04:38,501.5,502.0,985.5168,0.939,0
26 Dec 13 04:48,501.5,502.0,985.5168,0.939,0
26 Dec 13 04:58,501.5,502.0,985.5168,0.939,0
26 Dec 13 05:08,501.5,502.0,985.5168,0.939,0
26 Dec 13 05:18,501.5,502.0,985.5168,0.939,0
26 Dec 13 05:28,501.5,502.0,985.5168,0.939,0
26 Dec 13 05:38,502.0,503.9,985.5168,0.939,-0.01
26 Dec 13 05:48,502.0,503.9,990.6876,0.929,0
26 Dec 13 05:58,502.0,503.9,990.6876,0.929,0
26 Dec 13 06:08,502.0,503.9,990.6876,0.929,0
26 Dec 13 06:18,502.0,503.9,990.6876,0.929,0
26 Dec 13 06:28,500.1,501.4,990.6876,0.929,0.015
26 Dec 13 06:38,496.1,498.4,983.1756,0.944,0.063
26 Dec 13 06:49,500.8,502.1,975.6822,0.959,0
26 Dec 13 06:59,504.0,506.0,975.6822,0.959,-0.071
