Time,Bid,Ask,EUR,BTC,Trade,minPrice,maxPrice
25 Dec 13 22:11,493.30,495.70,100.00,0.000000,0.20,493.30,567.29
25 Dec 13 22:17,493.30,495.70,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 22:27,493.30,495.70,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 22:37,495.30,497.10,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 22:47,495.30,495.30,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 22:58,495.50,497.10,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 23:06,495.50,497.80,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 23:16,495.50,497.70,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 23:26,495.40,497.80,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 23:36,495.10,496.60,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 23:46,496.60,499.00,1.61,0.198479,0.00,493.30,567.29
25 Dec 13 23:56,495.40,497.80,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 00:06,497.40,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 00:16,494.20,496.60,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 00:26,497.30,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 00:36,497.30,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 00:46,499.00,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 00:56,498.50,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 01:06,499.00,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 01:16,497.30,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 01:26,497.30,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 01:36,498.90,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 01:47,498.90,499.00,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 01:57,502.10,503.90,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 02:07,505.10,505.90,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 02:17,502.00,504.50,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 02:27,503.20,505.70,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 02:37,504.40,505.70,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 02:47,504.50,505.80,1.61,0.198479,0.00,493.30,567.29
26 Dec 13 02:57,503.30,504.50,1.61,0.198479,0.00,493.30,567.29
